Filename,Error Type,Detail
"fas-cocktail.svg","VIEWBOX_MISMATCH","Path coordinates (-177.0, -144.0) to (464.0, 432.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-code.svg","VIEWBOX_MISMATCH","Path coordinates (-306.7, -448.0) to (562.7, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-coins.svg","VIEWBOX_MISMATCH","Path coordinates (-153.6, -192.0) to (512.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-comment.svg","VIEWBOX_MISMATCH","Path coordinates (-256.0, -62.9) to (512.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-comments.svg","VIEWBOX_MISMATCH","Path coordinates (-216.5, -176.0) to (448.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-compact-disc.svg","VIEWBOX_MISMATCH","Path coordinates (-192.0, -98.8) to (256.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-compress-arrows-alt.svg","VIEWBOX_MISMATCH","Path coordinates (-256.0, -40.0) to (512.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-concierge-bell.svg","VIEWBOX_MISMATCH","Path coordinates (-222.7, -200.0) to (480.0, 488.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-couch.svg","VIEWBOX_MISMATCH","Path coordinates (-78.4, -64.0) to (544.0, 576.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-crosshairs.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -181.6) to (469.6, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-crown.svg","VIEWBOX_MISMATCH","Path coordinates (-52.6, -89.1) to (426.6, 535.3) extend outside viewBox (0, 0) to (15, 15)"
"fas-crutch.svg","VIEWBOX_MISMATCH","Path coordinates (-160.0, -160.0) to (336.0, 457.4) extend outside viewBox (0, 0) to (15, 15)"
"fas-cube.svg","VIEWBOX_MISMATCH","Path coordinates (-188.0, -192.0) to (512.0, 368.6) extend outside viewBox (0, 0) to (15, 15)"
"fas-cut.svg","VIEWBOX_MISMATCH","Path coordinates (-102.4, -112.0) to (499.2, 460.8) extend outside viewBox (0, 0) to (15, 15)"
"fas-dice.svg","VIEWBOX_MISMATCH","Path coordinates (-101.8, -101.8) to (576.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
