Filename,Error Type,Detail
"fas-triangle-exclamation.svg","VIEWBOX_MISMATCH","Path coordinates (-368.0, -34.7) to (486.3, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-trophy.svg","VIEWBOX_MISMATCH","Path coordinates (-190.6, -73.2) to (448.1, 576.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-truck-fast.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -96.0) to (544.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-truck-loading.svg","VIEWBOX_MISMATCH","Path coordinates (-109.3, -112.0) to (640.0, 576.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-truck-monster.svg","VIEWBOX_MISMATCH","Path coordinates (-128.0, -128.0) to (528.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-tshirt.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -66.8) to (428.2, 628.5) extend outside viewBox (0, 0) to (15, 15)"
"fas-umbrella-beach.svg","VIEWBOX_MISMATCH","Path coordinates (-208.5, -201.2) to (346.3, 544.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-user-alt.svg","VIEWBOX_MISMATCH","Path coordinates (-94.7, 0.0) to (481.3, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-user-cog.svg","VIEWBOX_MISMATCH","Path coordinates (-96.1, -32.7) to (512.0, 467.8) extend outside viewBox (0, 0) to (15, 15)"
"fas-user-secret.svg","VIEWBOX_MISMATCH","Path coordinates (-71.7, -143.0) to (512.0, 418.3) extend outside viewBox (0, 0) to (15, 15)"
"fas-user-tie.svg","VIEWBOX_MISMATCH","Path coordinates (-156.4, -146.9) to (417.3, 483.1) extend outside viewBox (0, 0) to (15, 15)"
"fas-users.svg","VIEWBOX_MISMATCH","Path coordinates (-192.0, -96.0) to (512.0, 640.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-vector-square.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -32.0) to (400.0, 400.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-vest.svg","VIEWBOX_MISMATCH","Path coordinates (-294.6, -61.7) to (492.2, 464.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-vial.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -96.0) to (448.0, 410.5) extend outside viewBox (0, 0) to (15, 15)"
"fas-video.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -96.0) to (559.1, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-vihara.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -46.7) to (640.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-volume-up.svg","VIEWBOX_MISMATCH","Path coordinates (-106.4, -186.3) to (640.0, 398.2) extend outside viewBox (0, 0) to (15, 15)"
"fas-vote-yea.svg","VIEWBOX_MISMATCH","Path coordinates (-111.0, -48.0) to (512.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-warehouse.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -336.0) to (568.0, 599.8) extend outside viewBox (0, 0) to (15, 15)"
"fas-weight-hanging.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -288.0) to (512.0, 464.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-weight.svg","VIEWBOX_MISMATCH","Path coordinates (-256.0, -64.0) to (448.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-wifi.svg","VIEWBOX_MISMATCH","Path coordinates (-190.5, -128.0) to (549.7, 256.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-wine-bottle.svg","VIEWBOX_MISMATCH","Path coordinates (-90.5, -97.4) to (393.4, 493.3) extend outside viewBox (0, 0) to (15, 15)"
"fas-yin-yang.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -352.0) to (256.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fotoshi-atm.svg","VALID","No issues found"
"fotoshi-book_return.svg","VALID","No issues found"
"fotoshi-cave.svg","VALID","No issues found"
"fotoshi-mud.svg","VALID","No issues found"
"fotoshi-shipwreck.svg","VALID","No issues found"
"iD-boundary.svg","VIEWBOX_MISMATCH","Path coordinates (8.5, 8.5) to (51.5, 51.5) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-living-street.svg","VIEWBOX_MISMATCH","Path coordinates (7.0, 7.0) to (58.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-motorway-link.svg","VIEWBOX_MISMATCH","Path coordinates (8.0, 14.0) to (51.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-motorway.svg","VIEWBOX_MISMATCH","Path coordinates (8.0, 14.0) to (52.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-primary-link.svg","VIEWBOX_MISMATCH","Path coordinates (11.0, 14.0) to (50.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-primary.svg","VIEWBOX_MISMATCH","Path coordinates (13.0, 14.0) to (47.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-residential.svg","VIEWBOX_MISMATCH","Path coordinates (7.0, 7.0) to (53.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-secondary-link.svg","VIEWBOX_MISMATCH","Path coordinates (18.0, 14.0) to (44.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-secondary.svg","VIEWBOX_MISMATCH","Path coordinates (18.0, 14.0) to (42.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-service.svg","VIEWBOX_MISMATCH","Path coordinates (7.0, 15.0) to (53.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-steps.svg","VIEWBOX_MISMATCH","Path coordinates (22.0, 14.0) to (38.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-tertiary-link.svg","VIEWBOX_MISMATCH","Path coordinates (16.8, 14.0) to (44.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-tertiary.svg","VIEWBOX_MISMATCH","Path coordinates (18.0, 14.0) to (42.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-trunk-link.svg","VIEWBOX_MISMATCH","Path coordinates (11.0, 14.0) to (50.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-trunk.svg","VIEWBOX_MISMATCH","Path coordinates (10.0, 14.0) to (50.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-highway-unclassified.svg","VIEWBOX_MISMATCH","Path coordinates (17.0, 15.0) to (43.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-icon-line.svg","VALID","No issues found"
"iD-icon-point.svg","VALID","No issues found"
"iD-multipolygon.svg","VIEWBOX_MISMATCH","Path coordinates (17.0, 17.0) to (42.0, 42.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-other-line.svg","VIEWBOX_MISMATCH","Path coordinates (22.4, 14.0) to (38.4, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-pipeline-line.svg","VIEWBOX_MISMATCH","Path coordinates (14.0, 12.0) to (48.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-power-line.svg","VIEWBOX_MISMATCH","Path coordinates (14.0, 10.0) to (46.0, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-relation.svg","VIEWBOX_MISMATCH","Path coordinates (16.0, 16.0) to (44.0, 44.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-restriction-no-left-turn.svg","VIEWBOX_MISMATCH","Path coordinates (10.0, 15.0) to (45.0, 45.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-restriction-no-right-turn.svg","VIEWBOX_MISMATCH","Path coordinates (15.0, 15.0) to (49.0, 45.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-restriction-no-straight-on.svg","VIEWBOX_MISMATCH","Path coordinates (15.0, 15.0) to (45.0, 45.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-restriction-no-u-turn.svg","VIEWBOX_MISMATCH","Path coordinates (15.0, 15.0) to (49.0, 46.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-restriction-only-left-turn.svg","VIEWBOX_MISMATCH","Path coordinates (14.0, 14.0) to (46.0, 46.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-restriction-only-right-turn.svg","VIEWBOX_MISMATCH","Path coordinates (14.0, 14.0) to (46.0, 46.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-restriction-only-straight-on.svg","VIEWBOX_MISMATCH","Path coordinates (14.0, 14.0) to (46.0, 46.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-restriction-only-u-turn.svg","VIEWBOX_MISMATCH","Path coordinates (14.0, 14.0) to (46.0, 46.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-restriction.svg","VIEWBOX_MISMATCH","Path coordinates (14.5, 14.5) to (45.5, 45.5) extend outside viewBox (0, 0) to (15, 15)"
"iD-route-detour.svg","VIEWBOX_MISMATCH","Path coordinates (15.0, 14.0) to (47.0, 33.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-route-master.svg","VIEWBOX_MISMATCH","Path coordinates (10.0, 9.0) to (50.0, 50.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-route.svg","VIEWBOX_MISMATCH","Path coordinates (10.0, 24.0) to (50.0, 37.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-waterway-canal.svg","VIEWBOX_MISMATCH","Path coordinates (16.2, 14.0) to (43.8, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-waterway-ditch.svg","VIEWBOX_MISMATCH","Path coordinates (21.8, 14.0) to (38.8, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-waterway-river.svg","VIEWBOX_MISMATCH","Path coordinates (15.8, 14.0) to (47.4, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"iD-waterway-stream.svg","VIEWBOX_MISMATCH","Path coordinates (21.8, 14.0) to (41.4, 36.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-aerialway.svg","VALID","No issues found"
"maki-airfield.svg","VALID","No issues found"
"maki-airport.svg","VIEWBOX_MISMATCH","Path coordinates (-6.5, -3.5) to (15.0, 15.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-alcohol-shop.svg","VALID","No issues found"
"maki-american-football.svg","VALID","No issues found"
"maki-amusement-park.svg","VALID","No issues found"
"maki-animal-shelter.svg","VALID","No issues found"
"maki-aquarium.svg","VALID","No issues found"
"maki-arrow.svg","VALID","No issues found"
"maki-art-gallery.svg","VIEWBOX_MISMATCH","Path coordinates (-8.0, -11.0) to (12.0, 11.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-attraction.svg","VALID","No issues found"
"maki-bakery.svg","VIEWBOX_MISMATCH","Path coordinates (-5.1, -2.0) to (15.0, 13.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-bank-JP.svg","VALID","No issues found"
"maki-bank.svg","VALID","No issues found"
"maki-bar.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, -8.0) to (8.0, 14.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-barrier.svg","VIEWBOX_MISMATCH","Path coordinates (-11.0, -6.0) to (13.0, 7.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-baseball.svg","VIEWBOX_MISMATCH","Path coordinates (-5.0, -7.8) to (9.0, 13.9) extend outside viewBox (0, 0) to (15, 15)"
"maki-basketball.svg","VALID","No issues found"
"maki-bbq.svg","VALID","No issues found"
"maki-beach.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, -4.3) to (13.0, 13.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-beer.svg","VALID","No issues found"
"maki-bicycle-share.svg","VALID","No issues found"
"maki-bicycle.svg","VALID","No issues found"
"maki-blood-bank.svg","VIEWBOX_MISMATCH","Path coordinates (-3.7, -5.1) to (11.2, 6.1) extend outside viewBox (0, 0) to (15, 15)"
"maki-bowling-alley.svg","VALID","No issues found"
"maki-bridge.svg","VIEWBOX_MISMATCH","Path coordinates (-5.8, -15.0) to (8.5, 9.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-building-alt1.svg","VIEWBOX_MISMATCH","Path coordinates (-9.0, -0.5) to (13.5, 14.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-building.svg","VALID","No issues found"
"maki-bus.svg","VALID","No issues found"
"maki-cafe.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, 0.0) to (13.0, 13.1) extend outside viewBox (0, 0) to (15, 15)"
"maki-campsite.svg","VALID","No issues found"
"maki-car-rental.svg","VALID","No issues found"
"maki-car-repair.svg","VALID","No issues found"
"maki-car.svg","VIEWBOX_MISMATCH","Path coordinates (-0.5, -8.0) to (13.8, 11.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-casino.svg","VIEWBOX_MISMATCH","Path coordinates (-5.0, -6.0) to (14.0, 11.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-castle-JP.svg","VALID","No issues found"
"maki-castle.svg","VIEWBOX_MISMATCH","Path coordinates (-12.0, -7.0) to (15.0, 14.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-caution.svg","VALID","No issues found"
"maki-cemetery-JP.svg","VALID","No issues found"
"maki-cemetery.svg","VIEWBOX_MISMATCH","Path coordinates (-2.8, -6.0) to (14.0, 12.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-charging-station.svg","VALID","No issues found"
"maki-cinema.svg","VIEWBOX_MISMATCH","Path coordinates (-4.0, -8.0) to (14.0, 13.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-circle-stroked.svg","VALID","No issues found"
"maki-circle.svg","VIEWBOX_MISMATCH","Path coordinates (-6.5, 1.0) to (14.0, 11.1) extend outside viewBox (0, 0) to (15, 15)"
"maki-city.svg","VALID","No issues found"
"maki-clothing-store.svg","VALID","No issues found"
"maki-college-JP.svg","VALID","No issues found"
"maki-college.svg","VALID","No issues found"
"maki-commercial.svg","VIEWBOX_MISMATCH","Path coordinates (-13.0, -5.0) to (14.0, 11.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-communications-tower.svg","VIEWBOX_MISMATCH","Path coordinates (-4.9, -11.0) to (14.0, 12.1) extend outside viewBox (0, 0) to (15, 15)"
"maki-confectionery.svg","VALID","No issues found"
"maki-construction.svg","VALID","No issues found"
"maki-convenience.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, -2.6) to (14.0, 12.1) extend outside viewBox (0, 0) to (15, 15)"
"maki-cricket.svg","VALID","No issues found"
"maki-cross.svg","VALID","No issues found"
"maki-dam.svg","VIEWBOX_MISMATCH","Path coordinates (-4.0, -12.0) to (14.0, 14.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-danger.svg","VALID","No issues found"
"maki-defibrillator.svg","VIEWBOX_MISMATCH","Path coordinates (-3.0, -7.7) to (9.5, 7.3) extend outside viewBox (0, 0) to (15, 15)"
"maki-dentist.svg","VALID","No issues found"
"maki-diamond.svg","VALID","No issues found"
"maki-doctor.svg","VALID","No issues found"
"maki-dog-park.svg","VALID","No issues found"
"maki-drinking-water.svg","VALID","No issues found"
"maki-elevator.svg","VIEWBOX_MISMATCH","Path coordinates (-6.0, -4.0) to (13.0, 12.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-embassy.svg","VALID","No issues found"
"maki-emergency-phone.svg","VALID","No issues found"
"maki-entrance-alt1.svg","VALID","No issues found"
"maki-entrance.svg","VIEWBOX_MISMATCH","Path coordinates (-5.4, -5.4) to (9.0, 6.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-farm.svg","VIEWBOX_MISMATCH","Path coordinates (-4.0, -9.5) to (8.0, 6.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-fast-food.svg","VALID","No issues found"
"maki-fence.svg","VIEWBOX_MISMATCH","Path coordinates (-10.5, -3.0) to (13.5, 9.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-ferry-JP.svg","VALID","No issues found"
"maki-ferry.svg","VALID","No issues found"
"maki-fire-station-JP.svg","VALID","No issues found"
"maki-fire-station.svg","VALID","No issues found"
"maki-fitness-centre.svg","VALID","No issues found"
"maki-florist.svg","VALID","No issues found"
"maki-fuel.svg","VIEWBOX_MISMATCH","Path coordinates (-6.5, -6.0) to (14.0, 11.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-furniture.svg","VIEWBOX_MISMATCH","Path coordinates (-5.4, -5.0) to (8.7, 10.1) extend outside viewBox (0, 0) to (15, 15)"
"maki-gaming.svg","VIEWBOX_MISMATCH","Path coordinates (-7.1, -5.0) to (13.1, 11.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-garden-centre.svg","VALID","No issues found"
"maki-garden.svg","VIEWBOX_MISMATCH","Path coordinates (-5.5, 0.0) to (13.0, 12.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-gate.svg","VIEWBOX_MISMATCH","Path coordinates (-9.5, -9.5) to (12.0, 12.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-gift.svg","VALID","No issues found"
"maki-globe.svg","VALID","No issues found"
"maki-golf.svg","VALID","No issues found"
"maki-grocery.svg","VALID","No issues found"
"maki-hairdresser.svg","VALID","No issues found"
"maki-harbor.svg","VALID","No issues found"
"maki-hardware.svg","VIEWBOX_MISMATCH","Path coordinates (-3.5, -5.6) to (13.9, 11.4) extend outside viewBox (0, 0) to (15, 15)"
"maki-heart.svg","VIEWBOX_MISMATCH","Path coordinates (-6.1, -8.3) to (13.9, 7.8) extend outside viewBox (0, 0) to (15, 15)"
"maki-heliport.svg","VALID","No issues found"
"maki-highway-rest-area.svg","VALID","No issues found"
"maki-historic.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, -4.0) to (7.5, 9.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-home.svg","VALID","No issues found"
"maki-horse-riding.svg","VALID","No issues found"
"maki-hospital-JP.svg","VIEWBOX_MISMATCH","Path coordinates (-10.0, -2.8) to (12.5, 5.6) extend outside viewBox (0, 0) to (15, 15)"
"maki-hospital.svg","VALID","No issues found"
"maki-hot-spring.svg","VIEWBOX_MISMATCH","Path coordinates (-8.0, -3.0) to (11.0, 5.8) extend outside viewBox (0, 0) to (15, 15)"
"maki-ice-cream.svg","VALID","No issues found"
"maki-industry.svg","VALID","No issues found"
"maki-information.svg","VALID","No issues found"
"maki-jewelry-store.svg","VALID","No issues found"
"maki-karaoke.svg","VIEWBOX_MISMATCH","Path coordinates (-7.4, -2.1) to (12.1, 10.4) extend outside viewBox (0, 0) to (15, 15)"
"maki-landmark-JP.svg","VIEWBOX_MISMATCH","Path coordinates (-6.0, -1.4) to (9.5, 4.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-landmark.svg","VALID","No issues found"
"maki-landuse.svg","VIEWBOX_MISMATCH","Path coordinates (-4.0, -6.5) to (8.9, 6.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-laundry.svg","VALID","No issues found"
"maki-library.svg","VIEWBOX_MISMATCH","Path coordinates (-5.9, -5.9) to (14.0, 13.7) extend outside viewBox (0, 0) to (15, 15)"
"maki-lift-gate.svg","VALID","No issues found"
"maki-lighthouse-JP.svg","VALID","No issues found"
"maki-lighthouse.svg","VIEWBOX_MISMATCH","Path coordinates (-3.0, -7.0) to (15.0, 15.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-lodging.svg","VALID","No issues found"
"maki-logging.svg","VALID","No issues found"
"maki-marker-stroked.svg","VALID","No issues found"
"maki-marker.svg","VALID","No issues found"
"maki-mobile-phone.svg","VALID","No issues found"
"maki-monument-JP.svg","VALID","No issues found"
"maki-monument.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, -6.0) to (15.0, 11.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-mountain.svg","VIEWBOX_MISMATCH","Path coordinates (-9.5, -5.7) to (11.6, 9.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-museum.svg","VALID","No issues found"
"maki-music.svg","VIEWBOX_MISMATCH","Path coordinates (-8.8, -9.0) to (12.5, 8.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-natural.svg","VALID","No issues found"
"maki-nightclub.svg","VALID","No issues found"
"maki-observation-tower.svg","VALID","No issues found"
"maki-optician.svg","VALID","No issues found"
"maki-paint.svg","VIEWBOX_MISMATCH","Path coordinates (-10.5, -4.0) to (13.5, 6.1) extend outside viewBox (0, 0) to (15, 15)"
"maki-park-alt1.svg","VALID","No issues found"
"maki-park.svg","VALID","No issues found"
"maki-parking-garage.svg","VIEWBOX_MISMATCH","Path coordinates (-6.7, -1.0) to (14.4, 14.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-parking-paid.svg","VIEWBOX_MISMATCH","Path coordinates (-5.2, -6.0) to (13.0, 13.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-parking.svg","VALID","No issues found"
"maki-pharmacy.svg","VALID","No issues found"
"maki-picnic-site.svg","VALID","No issues found"
"maki-pitch.svg","VALID","No issues found"
"maki-place-of-worship.svg","VALID","No issues found"
"maki-playground.svg","VIEWBOX_MISMATCH","Path coordinates (-5.5, -7.2) to (11.0, 11.2) extend outside viewBox (0, 0) to (15, 15)"
"maki-police-JP.svg","VALID","No issues found"
"maki-police.svg","VIEWBOX_MISMATCH","Path coordinates (-6.9, 0.0) to (14.0, 12.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-post-JP.svg","VIEWBOX_MISMATCH","Path coordinates (-10.0, -10.0) to (11.0, 4.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-post.svg","VALID","No issues found"
"maki-prison.svg","VALID","No issues found"
"maki-racetrack-boat.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, -7.6) to (10.1, 11.2) extend outside viewBox (0, 0) to (15, 15)"
"maki-racetrack-cycling.svg","VIEWBOX_MISMATCH","Path coordinates (-8.0, -8.0) to (14.0, 15.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-racetrack-horse.svg","VALID","No issues found"
"maki-racetrack.svg","VALID","No issues found"
"maki-rail-light.svg","VALID","No issues found"
"maki-rail-metro.svg","VALID","No issues found"
"maki-rail.svg","VALID","No issues found"
"maki-ranger-station.svg","VALID","No issues found"
"maki-recycling.svg","VALID","No issues found"
"maki-religious-buddhist.svg","VALID","No issues found"
"maki-religious-christian.svg","VALID","No issues found"
"maki-religious-jewish.svg","VALID","No issues found"
"maki-religious-muslim.svg","VALID","No issues found"
"maki-religious-shinto.svg","VALID","No issues found"
"maki-residential-community.svg","VIEWBOX_MISMATCH","Path coordinates (-5.8, -11.5) to (13.0, 12.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-restaurant-bbq.svg","VIEWBOX_MISMATCH","Path coordinates (-6.5, -1.1) to (15.0, 12.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-restaurant-noodle.svg","VIEWBOX_MISMATCH","Path coordinates (-7.5, -3.5) to (10.0, 14.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-restaurant-pizza.svg","VIEWBOX_MISMATCH","Path coordinates (-6.9, -0.3) to (14.1, 14.1) extend outside viewBox (0, 0) to (15, 15)"
"maki-restaurant-seafood.svg","VALID","No issues found"
"maki-restaurant-sushi.svg","VALID","No issues found"
"maki-restaurant.svg","VALID","No issues found"
"maki-road-accident.svg","VIEWBOX_MISMATCH","Path coordinates (-0.9, -8.0) to (14.5, 14.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-roadblock.svg","VALID","No issues found"
"maki-rocket.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, -7.0) to (11.6, 4.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-school-JP.svg","VALID","No issues found"
"maki-school.svg","VIEWBOX_MISMATCH","Path coordinates (-6.7, -3.5) to (8.0, 10.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-scooter.svg","VIEWBOX_MISMATCH","Path coordinates (-6.0, -2.8) to (13.6, 14.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-shelter.svg","VALID","No issues found"
"maki-shoe.svg","VALID","No issues found"
"maki-shop.svg","VIEWBOX_MISMATCH","Path coordinates (-8.8, -6.3) to (13.3, 6.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-skateboard.svg","VALID","No issues found"
"maki-skiing.svg","VALID","No issues found"
"maki-slaughterhouse.svg","VALID","No issues found"
"maki-slipway.svg","VALID","No issues found"
"maki-snowmobile.svg","VIEWBOX_MISMATCH","Path coordinates (-1.4, -9.5) to (15.0, 15.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-soccer.svg","VIEWBOX_MISMATCH","Path coordinates (-9.4, -1.9) to (14.5, 13.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-square-stroked.svg","VALID","No issues found"
"maki-square.svg","VALID","No issues found"
"maki-stadium.svg","VALID","No issues found"
"maki-star-stroked.svg","VIEWBOX_MISMATCH","Path coordinates (-6.0, -5.0) to (7.5, 5.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-star.svg","VIEWBOX_MISMATCH","Path coordinates (-6.0, -5.0) to (7.5, 5.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-suitcase.svg","VALID","No issues found"
"maki-swimming.svg","VALID","No issues found"
"maki-table-tennis.svg","VIEWBOX_MISMATCH","Path coordinates (-7.0, -1.9) to (14.2, 11.4) extend outside viewBox (0, 0) to (15, 15)"
"maki-teahouse.svg","VALID","No issues found"
"maki-telephone.svg","VIEWBOX_MISMATCH","Path coordinates (-0.7, -7.3) to (13.6, 13.6) extend outside viewBox (0, 0) to (15, 15)"
"maki-tennis.svg","VIEWBOX_MISMATCH","Path coordinates (-6.3, -4.6) to (14.6, 12.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-terminal.svg","VALID","No issues found"
"maki-theatre.svg","VALID","No issues found"
"maki-toilet.svg","VIEWBOX_MISMATCH","Path coordinates (-4.0, -3.0) to (345.0, 345.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-toll.svg","VALID","No issues found"
"maki-town-hall.svg","VALID","No issues found"
"maki-town.svg","VIEWBOX_MISMATCH","Path coordinates (-9.2, -6.3) to (10.7, 8.2) extend outside viewBox (0, 0) to (15, 15)"
"maki-triangle-stroked.svg","VIEWBOX_MISMATCH","Path coordinates (-9.9, -8.3) to (11.0, 9.9) extend outside viewBox (0, 0) to (15, 15)"
"maki-triangle.svg","VIEWBOX_MISMATCH","Path coordinates (-9.5, -5.8) to (11.6, 9.5) extend outside viewBox (0, 0) to (15, 15)"
"maki-tunnel.svg","VALID","No issues found"
"maki-veterinary.svg","VIEWBOX_MISMATCH","Path coordinates (-7.8, -3.0) to (12.9, 9.1) extend outside viewBox (0, 0) to (15, 15)"
"maki-viewpoint.svg","VIEWBOX_MISMATCH","Path coordinates (-3.5, -5.3) to (12.5, 10.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-village.svg","VIEWBOX_MISMATCH","Path coordinates (-1.8, -7.4) to (12.8, 11.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-volcano.svg","VALID","No issues found"
"maki-volleyball.svg","VIEWBOX_MISMATCH","Path coordinates (-2.6, -5.2) to (13.9, 12.7) extend outside viewBox (0, 0) to (15, 15)"
"maki-warehouse.svg","VALID","No issues found"
"maki-waste-basket.svg","VIEWBOX_MISMATCH","Path coordinates (-10.0, -1.3) to (13.0, 9.0) extend outside viewBox (0, 0) to (15, 15)"
"maki-watch.svg","VALID","No issues found"
"maki-water.svg","VALID","No issues found"
"maki-waterfall.svg","VALID","No issues found"
"maki-watermill.svg","VALID","No issues found"
"maki-wetland.svg","VALID","No issues found"
"maki-wheelchair.svg","VALID","No issues found"
"maki-windmill.svg","VALID","No issues found"
"maki-zoo.svg","VALID","No issues found"
